source_dataset,L_null,L_basis,L_detector,L_basis_detector,basis_utility,detector_utility,CDU,Raw_VUS,detector
MGAB,0.10379637692907713,0.09814965849320105,0.10401084670277866,0.09803324818416864,0.005646718435876013,-0.0002144697737015375,0.000116410309032325,0.00412470613573515,TimesNet
MITDB,0.2799692305476572,0.28074051205083167,0.28047048086835513,0.28078914344918854,-0.0007712815031744574,-0.0005012503206979143,-4.863139835692272e-05,0.08029731814217553,TimesNet
MSL,0.35306260934966177,0.32341904528105864,0.342330726381085,0.3233747366011461,0.02964356406860314,0.010731882968576658,4.430867991252305e-05,0.3349044495289203,TimesNet
NAB,0.5109301265016868,0.49567876044141895,0.5094990848841386,0.4959101089091621,0.015251366060267817,0.0014310416175481997,-0.00023134846774316588,0.20964423861009684,TimesNet
NEK,0.4180551094165658,0.34893343626830126,0.40396956191429423,0.34910920750497537,0.06912167314826453,0.014085547502271525,-0.0001757712366741625,0.5138206735070742,TimesNet
OPPORTUNITY,0.34958301859767227,0.47357238256387457,0.37617232480421803,0.47491519726988884,-0.12398936396620222,-0.026589306206545697,-0.0013428147060142775,0.05181793626038639,TimesNet
Power,0.4286798769583611,0.5020106680322937,0.4379896734565221,0.5021243341294278,-0.0733307910739325,-0.009309796498161,-0.0001136660971341,0.0760505272292913,TimesNet
SED,0.25885176897902645,0.33325228185899936,0.2756423918070931,0.33354777755341164,-0.0744005128799729,-0.0167906228280666,-0.0002954956944123,0.04813760511093295,TimesNet
SMAP,0.21089900810982376,0.18744917856369883,0.20684164463083998,0.18729887650905078,0.02344982954612493,0.004057363478983736,0.00015030205464798278,0.43550619624902737,TimesNet
SMD,0.18012864641461732,0.15902704174505083,0.17473754000299388,0.15898278131597557,0.021101604669566423,0.005391106411623342,4.4260429075250414e-05,0.5537849232381943,TimesNet
SVDB,0.24134051440331417,0.21203335442809823,0.2381103696857483,0.21189988848691138,0.02930715997521592,0.0032301447175658114,0.00013346594118678415,0.09479581227677301,TimesNet
SWaT,0.5695013226659786,0.8095299149614791,0.6171862437160295,0.8172248683110315,-0.2400285922955004,-0.0476849210500508,-0.0076949533495523,0.102438190184288,TimesNet
Stock,0.417131156077293,0.3639863006648232,0.415139715611443,0.36384892917666045,0.053144855412469785,0.00199144046584995,0.00013737148816269756,0.7850170825602332,TimesNet
TAO,0.5535625392673225,0.5136042109103988,0.54668446708972,0.5134813380247809,0.0399583283569237,0.0068780721776024005,0.00012287288561785,0.9105580253137868,TimesNet
TODS,0.34089188089259115,0.3494683816078803,0.3443308592763804,0.3494066698010094,-0.008576500715289138,-0.003438978383789292,6.171180687089515e-05,0.5714954504563184,TimesNet
UCR,0.11965481163837996,0.12118827879405407,0.11981899345316245,0.12115468349341314,-0.0015334671556741313,-0.00016418181478252043,3.359530064087912e-05,0.02152862517495847,TimesNet
WSD,0.11652476930139795,0.11569967076211748,0.11491248341851894,0.11560807353354252,0.00082509853928046,0.0016122858828789184,9.159722857491871e-05,0.26270560957925515,TimesNet
YAHOO,0.1357516306585992,0.13053893441590425,0.13519455640523728,0.13048640157595948,0.005212696242694886,0.0005570742533618598,5.253283994473385e-05,0.22433398205485489,TimesNet
CATSv2,0.2858020924202719,0.297887201276486,0.2813667145646165,0.2959726571934067,-0.0120851088562141,0.0044353778556553,0.0019145440830792,0.2507393372428061,FITS
